origin_zone_id,destination_zone_id,origin_state,destination_state,origin_zone_name,destination_zone_name,annual_total_trips,mode_air,mode_rail,mode_vehicle,mode_atf,purpose_work,purpose_nonwork,zone_id_x,o_x,o_y,zone_id_y,d_x,d_y
33100_FL,33100_FL,FL,FL,"Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL",5965697989,231858,40064080,5223244716,702157335,1684796634,4280901355,33100_FL,-80.62676908164782,25.989057353585206,33100_FL,-80.62676908164782,25.989057353585206
45300_FL,45300_FL,FL,FL,"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL",3019478253,0,1417343,2677134011,340926899,822472194,2197006059,45300_FL,-82.40586985987241,28.153686028277587,45300_FL,-82.40586985987241,28.153686028277587
36740_FL,36740_FL,FL,FL,"Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL",2639369564,0,2756974,2327005199,309607391,710196798,1929172766,36740_FL,-81.36300157579336,28.43433057854205,36740_FL,-81.36300157579336,28.43433057854205
27260_FL,27260_FL,FL,FL,"Jacksonville, FL","Jacksonville, FL",1622528343,0,257068,1436589268,185682007,448854120,1173674223,27260_FL,-81.79206235996922,30.236720801974084,27260_FL,-81.79206235996922,30.236720801974084
35840_FL,35840_FL,FL,FL,"North Port-Sarasota-Bradenton, FL","North Port-Sarasota-Bradenton, FL",856465155,0,25,760292514,96172616,236902298,619562857,35840_FL,-82.32229910658704,27.347870492975634,35840_FL,-82.32229910658704,27.347870492975634
15980_FL,15980_FL,FL,FL,"Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL",760254584,0,41322,671413103,88800159,208572821,551681763,15980_FL,-81.83374076516242,26.57778207308121,15980_FL,-81.83374076516242,26.57778207308121
29460_FL,29460_FL,FL,FL,"Lakeland-Winter Haven, FL","Lakeland-Winter Haven, FL",667027547,0,191174,582005946,84830427,187514287,479513260,29460_FL,-81.69757651030494,27.94888002560678,29460_FL,-81.69757651030494,27.94888002560678
19660_FL,19660_FL,FL,FL,"Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL",657166605,0,13010,580934922,76218673,179741907,477424698,19660_FL,-81.21968990110504,29.17404141035394,19660_FL,-81.21968990110504,29.17404141035394
37340_FL,37340_FL,FL,FL,"Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL",599569177,0,0,531805145,67764032,165005350,434563827,37340_FL,-80.73227532489604,28.293692647230113,37340_FL,-80.73227532489604,28.293692647230113
37860_FL,37860_FL,FL,FL,"Pensacola-Ferry Pass-Brent, FL","Pensacola-Ferry Pass-Brent, FL",486850230,0,0,439302280,47547950,135434954,351415276,37860_FL,-87.1561781379219,30.688031845173366,37860_FL,-87.1561781379219,30.688031845173366
38940_FL,38940_FL,FL,FL,"Port St. Lucie, FL","Port St. Lucie, FL",484804092,0,0,428537975,56266117,133918577,350885515,38940_FL,-80.45072430974419,27.219835127149576,38940_FL,-80.45072430974419,27.219835127149576
34940_FL,34940_FL,FL,FL,"Naples-Immokalee-Marco Island, FL","Naples-Immokalee-Marco Island, FL",373404897,0,0,328966566,44438331,104344086,269060811,34940_FL,-81.34758798839782,26.110727879457404,34940_FL,-81.34758798839782,26.110727879457404
36100_FL,36100_FL,FL,FL,"Ocala, FL","Ocala, FL",345678710,0,0,306857405,38821305,97292549,248386161,36100_FL,-82.05665142074832,29.210207671595246,36100_FL,-82.05665142074832,29.210207671595246
45220_FL,45220_FL,FL,FL,"Tallahassee, FL","Tallahassee, FL",324573821,0,0,285580783,38993038,92530599,232043222,45220_FL,-84.28617320304492,30.405015607103945,45220_FL,-84.28617320304492,30.405015607103945
18880_FL,18880_FL,FL,FL,"Crestview-Fort Walton Beach-Destin, FL","Crestview-Fort Walton Beach-Destin, FL",275550901,0,0,245815064,29735837,76333538,199217363,18880_FL,-86.36565385135344,30.665732523380893,18880_FL,-86.36565385135344,30.665732523380893
RFL3_FL,RFL3_FL,FL,FL,FL-NonMSA areas (N),FL-NonMSA areas (N),268166417,0,0,237789897,30376520,77388315,190778102,RFL3_FL,-82.90060820349375,29.93639244596677,RFL3_FL,-82.90060820349375,29.93639244596677
23540_FL,23540_FL,FL,FL,"Gainesville, FL","Gainesville, FL",245600669,0,248463,211686218,33665988,70470980,175129689,23540_FL,-82.47650176890735,29.68845797519173,23540_FL,-82.47650176890735,29.68845797519173
37460_FL,37460_FL,FL,FL,"Panama City, FL","Panama City, FL",204501280,0,0,182614991,21886289,58149218,146352062,37460_FL,-85.46600655715284,30.143856217945498,37460_FL,-85.46600655715284,30.143856217945498
39460_FL,39460_FL,FL,FL,"Punta Gorda, FL","Punta Gorda, FL",168014989,0,0,146664645,21350344,44482695,123532294,39460_FL,-81.912256793785,26.90549780202472,39460_FL,-81.912256793785,26.90549780202472
42680_FL,42680_FL,FL,FL,"Sebastian-Vero Beach, FL","Sebastian-Vero Beach, FL",154918562,0,0,136588525,18330037,43984144,110934418,42680_FL,-80.6062317566448,27.694278336464425,42680_FL,-80.6062317566448,27.694278336464425
26140_FL,26140_FL,FL,FL,"Homosassa Springs, FL","Homosassa Springs, FL",133432775,0,0,117838956,15593819,36034657,97398118,26140_FL,-82.47939650321318,28.84890754313061,26140_FL,-82.47939650321318,28.84890754313061
RFL1_FL,RFL1_FL,FL,FL,FL-NonMSA areas (Central),FL-NonMSA areas (Central),117058795,0,0,102488763,14570032,34348656,82710139,RFL1_FL,-81.30380393571672,27.047978462601378,RFL1_FL,-81.30380393571672,27.047978462601378
45540_FL,45540_FL,FL,FL,"The Villages, FL","The Villages, FL",106217127,0,0,90608018,15609109,28303711,77913416,45540_FL,-82.0809661436527,28.704746692421324,45540_FL,-82.0809661436527,28.704746692421324
RFL4_FL,RFL4_FL,FL,FL,FL-NonMSA areas (NW),FL-NonMSA areas (NW),97647131,0,0,88367813,9279318,29170542,68476589,RFL4_FL,-85.22904449813885,30.477452921646957,RFL4_FL,-85.22904449813885,30.477452921646957
42700_FL,42700_FL,FL,FL,"Sebring, FL","Sebring, FL",90470118,0,0,78754584,11715534,25845832,64624286,42700_FL,-81.3410349639663,27.34332487914713,42700_FL,-81.3410349639663,27.34332487914713
29460_FL,36740_FL,FL,FL,"Lakeland-Winter Haven, FL","Orlando-Kissimmee-Sanford, FL",34548208,6,39959,33364096,1144147,9372857,25175351,29460_FL,-81.69757651030494,27.94888002560678,36740_FL,-81.36300157579336,28.43433057854205
19660_FL,36740_FL,FL,FL,"Deltona-Daytona Beach-Ormond Beach, FL","Orlando-Kissimmee-Sanford, FL",31154768,107,97215,30365583,691863,9191725,21963043,19660_FL,-81.21968990110504,29.17404141035394,36740_FL,-81.36300157579336,28.43433057854205
29460_FL,45300_FL,FL,FL,"Lakeland-Winter Haven, FL","Tampa-St. Petersburg-Clearwater, FL",28628017,0,20778,27849569,757670,8596525,20031492,29460_FL,-81.69757651030494,27.94888002560678,45300_FL,-82.40586985987241,28.153686028277587
34940_FL,15980_FL,FL,FL,"Naples-Immokalee-Marco Island, FL","Cape Coral-Fort Myers, FL",27889149,0,0,26962051,927098,8115935,19773214,34940_FL,-81.34758798839782,26.110727879457404,15980_FL,-81.83374076516242,26.57778207308121
45300_FL,29460_FL,FL,FL,"Tampa-St. Petersburg-Clearwater, FL","Lakeland-Winter Haven, FL",27888947,0,20065,27158414,710468,8586825,19302122,45300_FL,-82.40586985987241,28.153686028277587,29460_FL,-81.69757651030494,27.94888002560678
36740_FL,29460_FL,FL,FL,"Orlando-Kissimmee-Sanford, FL","Lakeland-Winter Haven, FL",27725159,15,21143,26728289,975712,8184656,19540503,36740_FL,-81.36300157579336,28.43433057854205,29460_FL,-81.69757651030494,27.94888002560678
36740_FL,19660_FL,FL,FL,"Orlando-Kissimmee-Sanford, FL","Deltona-Daytona Beach-Ormond Beach, FL",27315499,97,60751,26616483,638168,8256143,19059356,36740_FL,-81.36300157579336,28.43433057854205,19660_FL,-81.21968990110504,29.17404141035394
15980_FL,34940_FL,FL,FL,"Cape Coral-Fort Myers, FL","Naples-Immokalee-Marco Island, FL",25898974,0,0,25076291,822683,7985835,17913139,15980_FL,-81.83374076516242,26.57778207308121,34940_FL,-81.34758798839782,26.110727879457404
38940_FL,33100_FL,FL,FL,"Port St. Lucie, FL","Miami-Fort Lauderdale-West Palm Beach, FL",21573786,8651,0,21081190,483945,6520478,15053308,38940_FL,-80.45072430974419,27.219835127149576,33100_FL,-80.62676908164782,25.989057353585206
45300_FL,35840_FL,FL,FL,"Tampa-St. Petersburg-Clearwater, FL","North Port-Sarasota-Bradenton, FL",20012786,24,0,19682789,329973,5885807,14126979,45300_FL,-82.40586985987241,28.153686028277587,35840_FL,-82.32229910658704,27.347870492975634
35840_FL,45300_FL,FL,FL,"North Port-Sarasota-Bradenton, FL","Tampa-St. Petersburg-Clearwater, FL",19642072,1,0,19278733,363338,5672890,13969182,35840_FL,-82.32229910658704,27.347870492975634,45300_FL,-82.40586985987241,28.153686028277587
33100_FL,38940_FL,FL,FL,"Miami-Fort Lauderdale-West Palm Beach, FL","Port St. Lucie, FL",19096120,10986,0,18690239,394895,5997340,13098780,33100_FL,-80.62676908164782,25.989057353585206,38940_FL,-80.45072430974419,27.219835127149576
36740_FL,45540_FL,FL,FL,"Orlando-Kissimmee-Sanford, FL","The Villages, FL",18323350,0,0,17452873,870477,5513346,12810004,36740_FL,-81.36300157579336,28.43433057854205,45540_FL,-82.0809661436527,28.704746692421324
45540_FL,36740_FL,FL,FL,"The Villages, FL","Orlando-Kissimmee-Sanford, FL",17423080,0,0,16560758,862322,4849275,12573805,45540_FL,-82.0809661436527,28.704746692421324,36740_FL,-81.36300157579336,28.43433057854205
35840_FL,39460_FL,FL,FL,"North Port-Sarasota-Bradenton, FL","Punta Gorda, FL",17279554,0,0,16677601,601953,4837198,12442356,35840_FL,-82.32229910658704,27.347870492975634,39460_FL,-81.912256793785,26.90549780202472
39460_FL,35840_FL,FL,FL,"Punta Gorda, FL","North Port-Sarasota-Bradenton, FL",16899443,0,0,16351650,547793,4882292,12017151,39460_FL,-81.912256793785,26.90549780202472,35840_FL,-82.32229910658704,27.347870492975634
RFL3_FL,23540_FL,FL,FL,FL-NonMSA areas (N),"Gainesville, FL",13637374,0,0,13336630,300744,3994681,9642693,RFL3_FL,-82.90060820349375,29.93639244596677,23540_FL,-82.47650176890735,29.68845797519173
36100_FL,36740_FL,FL,FL,"Ocala, FL","Orlando-Kissimmee-Sanford, FL",12108744,52,0,11813426,295266,3670712,8438032,36100_FL,-82.05665142074832,29.210207671595246,36740_FL,-81.36300157579336,28.43433057854205
36740_FL,36100_FL,FL,FL,"Orlando-Kissimmee-Sanford, FL","Ocala, FL",12033448,42,0,11706475,326931,3710751,8322697,36740_FL,-81.36300157579336,28.43433057854205,36100_FL,-82.05665142074832,29.210207671595246
23540_FL,RFL3_FL,FL,FL,"Gainesville, FL",FL-NonMSA areas (N),11947662,0,0,11658999,288663,3697215,8250447,23540_FL,-82.47650176890735,29.68845797519173,RFL3_FL,-82.90060820349375,29.93639244596677
27260_FL,RFL3_FL,FL,FL,"Jacksonville, FL",FL-NonMSA areas (N),11433614,8,1060,11145930,286616,3271249,8162365,27260_FL,-81.79206235996922,30.236720801974084,RFL3_FL,-82.90060820349375,29.93639244596677
RFL3_FL,27260_FL,FL,FL,FL-NonMSA areas (N),"Jacksonville, FL",10932349,9,2041,10680501,249798,3261340,7671009,RFL3_FL,-82.90060820349375,29.93639244596677,27260_FL,-81.79206235996922,30.236720801974084
37340_FL,36740_FL,FL,FL,"Palm Bay-Melbourne-Titusville, FL","Orlando-Kissimmee-Sanford, FL",10527624,4,0,10397617,130003,2834734,7692890,37340_FL,-80.73227532489604,28.293692647230113,36740_FL,-81.36300157579336,28.43433057854205
45300_FL,36740_FL,FL,FL,"Tampa-St. Petersburg-Clearwater, FL","Orlando-Kissimmee-Sanford, FL",10315732,960,36404,10258009,20359,2991778,7323954,45300_FL,-82.40586985987241,28.153686028277587,36740_FL,-81.36300157579336,28.43433057854205
36740_FL,37340_FL,FL,FL,"Orlando-Kissimmee-Sanford, FL","Palm Bay-Melbourne-Titusville, FL",9880097,20,0,9755746,124331,2763790,7116307,36740_FL,-81.36300157579336,28.43433057854205,37340_FL,-80.73227532489604,28.293692647230113
42680_FL,38940_FL,FL,FL,"Sebastian-Vero Beach, FL","Port St. Lucie, FL",9688215,0,0,9459137,229078,3101261,6586954,42680_FL,-80.6062317566448,27.694278336464425,38940_FL,-80.45072430974419,27.219835127149576
38940_FL,42680_FL,FL,FL,"Port St. Lucie, FL","Sebastian-Vero Beach, FL",9566080,0,0,9340133,225947,3072378,6493702,38940_FL,-80.45072430974419,27.219835127149576,42680_FL,-80.6062317566448,27.694278336464425
45540_FL,36100_FL,FL,FL,"The Villages, FL","Ocala, FL",9564271,0,0,9097419,466852,3067365,6496906,45540_FL,-82.0809661436527,28.704746692421324,36100_FL,-82.05665142074832,29.210207671595246
36100_FL,45540_FL,FL,FL,"Ocala, FL","The Villages, FL",9478277,0,0,9090362,387915,3029205,6449072,36100_FL,-82.05665142074832,29.210207671595246,45540_FL,-82.0809661436527,28.704746692421324
36740_FL,45300_FL,FL,FL,"Orlando-Kissimmee-Sanford, FL","Tampa-St. Petersburg-Clearwater, FL",9314093,1037,32512,9262417,18127,2807658,6506435,36740_FL,-81.36300157579336,28.43433057854205,45300_FL,-82.40586985987241,28.153686028277587
15980_FL,39460_FL,FL,FL,"Cape Coral-Fort Myers, FL","Punta Gorda, FL",9280517,0,0,9082622,197895,2673382,6607135,15980_FL,-81.83374076516242,26.57778207308121,39460_FL,-81.912256793785,26.90549780202472
33100_FL,36740_FL,FL,FL,"Miami-Fort Lauderdale-West Palm Beach, FL","Orlando-Kissimmee-Sanford, FL",9208744,553716,259629,8395399,0,3136209,6072535,33100_FL,-80.62676908164782,25.989057353585206,36740_FL,-81.36300157579336,28.43433057854205
39460_FL,15980_FL,FL,FL,"Punta Gorda, FL","Cape Coral-Fort Myers, FL",8595092,0,0,8444233,150859,2571526,6023566,39460_FL,-81.912256793785,26.90549780202472,15980_FL,-81.83374076516242,26.57778207308121
36740_FL,33100_FL,FL,FL,"Orlando-Kissimmee-Sanford, FL","Miami-Fort Lauderdale-West Palm Beach, FL",8178021,496369,303520,7378132,0,2678220,5499801,36740_FL,-81.36300157579336,28.43433057854205,33100_FL,-80.62676908164782,25.989057353585206
RFL2_FL,RFL2_FL,FL,FL,"Union County, FL","Union County, FL",7171735,0,0,6279461,892274,2018100,5153635,RFL2_FL,-82.37143291683732,30.043855133664206,RFL2_FL,-82.37143291683732,30.043855133664206
37860_FL,18880_FL,FL,FL,"Pensacola-Ferry Pass-Brent, FL","Crestview-Fort Walton Beach-Destin, FL",6567368,0,0,6484182,83186,1856745,4710623,37860_FL,-87.1561781379219,30.688031845173366,18880_FL,-86.36565385135344,30.665732523380893
37340_FL,42680_FL,FL,FL,"Palm Bay-Melbourne-Titusville, FL","Sebastian-Vero Beach, FL",6522729,0,0,6340468,182261,1819140,4703589,37340_FL,-80.73227532489604,28.293692647230113,42680_FL,-80.6062317566448,27.694278336464425
18880_FL,37860_FL,FL,FL,"Crestview-Fort Walton Beach-Destin, FL","Pensacola-Ferry Pass-Brent, FL",6155619,0,0,6065027,90592,1698519,4457100,18880_FL,-86.36565385135344,30.665732523380893,37860_FL,-87.1561781379219,30.688031845173366
42680_FL,37340_FL,FL,FL,"Sebastian-Vero Beach, FL","Palm Bay-Melbourne-Titusville, FL",5921237,0,0,5760618,160619,1713519,4207718,42680_FL,-80.6062317566448,27.694278336464425,37340_FL,-80.73227532489604,28.293692647230113
33100_FL,45300_FL,FL,FL,"Miami-Fort Lauderdale-West Palm Beach, FL","Tampa-St. Petersburg-Clearwater, FL",5779117,462335,160942,5155840,0,2000488,3778629,33100_FL,-80.62676908164782,25.989057353585206,45300_FL,-82.40586985987241,28.153686028277587
RFL1_FL,15980_FL,FL,FL,FL-NonMSA areas (Central),"Cape Coral-Fort Myers, FL",5639405,69,0,5547306,92030,1563233,4076172,RFL1_FL,-81.30380393571672,27.047978462601378,15980_FL,-81.83374076516242,26.57778207308121
45300_FL,33100_FL,FL,FL,"Tampa-St. Petersburg-Clearwater, FL","Miami-Fort Lauderdale-West Palm Beach, FL",5539356,386430,154699,4998227,0,1852817,3686539,45300_FL,-82.40586985987241,28.153686028277587,33100_FL,-80.62676908164782,25.989057353585206
26140_FL,45300_FL,FL,FL,"Homosassa Springs, FL","Tampa-St. Petersburg-Clearwater, FL",5487733,16,0,5403221,84496,1528211,3959522,26140_FL,-82.47939650321318,28.84890754313061,45300_FL,-82.40586985987241,28.153686028277587
19660_FL,27260_FL,FL,FL,"Deltona-Daytona Beach-Ormond Beach, FL","Jacksonville, FL",5322125,307,218,5277133,44467,1564622,3757503,19660_FL,-81.21968990110504,29.17404141035394,27260_FL,-81.79206235996922,30.236720801974084
27260_FL,19660_FL,FL,FL,"Jacksonville, FL","Deltona-Daytona Beach-Ormond Beach, FL",5156806,383,1919,5105290,49214,1493383,3663423,27260_FL,-81.79206235996922,30.236720801974084,19660_FL,-81.21968990110504,29.17404141035394
RFL4_FL,37460_FL,FL,FL,FL-NonMSA areas (NW),"Panama City, FL",5002759,0,0,4936363,66396,1398429,3604330,RFL4_FL,-85.22904449813885,30.477452921646957,37460_FL,-85.46600655715284,30.143856217945498
45300_FL,26140_FL,FL,FL,"Tampa-St. Petersburg-Clearwater, FL","Homosassa Springs, FL",4707420,24,0,4622365,85031,1372370,3335050,45300_FL,-82.40586985987241,28.153686028277587,26140_FL,-82.47939650321318,28.84890754313061
15980_FL,RFL1_FL,FL,FL,"Cape Coral-Fort Myers, FL",FL-NonMSA areas (Central),4706497,22,0,4630476,75999,1401191,3305306,15980_FL,-81.83374076516242,26.57778207308121,RFL1_FL,-81.30380393571672,27.047978462601378
23540_FL,36100_FL,FL,FL,"Gainesville, FL","Ocala, FL",4179150,0,0,4073448,105702,1283116,2896034,23540_FL,-82.47650176890735,29.68845797519173,36100_FL,-82.05665142074832,29.210207671595246
36100_FL,23540_FL,FL,FL,"Ocala, FL","Gainesville, FL",4108091,0,0,4004387,103704,1282316,2825775,36100_FL,-82.05665142074832,29.210207671595246,23540_FL,-82.47650176890735,29.68845797519173
26140_FL,36100_FL,FL,FL,"Homosassa Springs, FL","Ocala, FL",4090350,0,0,3997562,92788,1136368,2953982,26140_FL,-82.47939650321318,28.84890754313061,36100_FL,-82.05665142074832,29.210207671595246
RFL1_FL,39460_FL,FL,FL,FL-NonMSA areas (Central),"Punta Gorda, FL",3856198,0,0,3741640,114558,1001583,2854615,RFL1_FL,-81.30380393571672,27.047978462601378,39460_FL,-81.912256793785,26.90549780202472
RFL3_FL,36100_FL,FL,FL,FL-NonMSA areas (N),"Ocala, FL",3851608,0,0,3774822,76786,1056322,2795286,RFL3_FL,-82.90060820349375,29.93639244596677,36100_FL,-82.05665142074832,29.210207671595246
37460_FL,RFL4_FL,FL,FL,"Panama City, FL",FL-NonMSA areas (NW),3609495,0,0,3545921,63574,1053117,2556378,37460_FL,-85.46600655715284,30.143856217945498,RFL4_FL,-85.22904449813885,30.477452921646957
45220_FL,RFL4_FL,FL,FL,"Tallahassee, FL",FL-NonMSA areas (NW),3588077,0,0,3560754,27323,1227209,2360868,45220_FL,-84.28617320304492,30.405015607103945,RFL4_FL,-85.22904449813885,30.477452921646957
45540_FL,45300_FL,FL,FL,"The Villages, FL","Tampa-St. Petersburg-Clearwater, FL",3469231,0,0,3391566,77665,931433,2537798,45540_FL,-82.0809661436527,28.704746692421324,45300_FL,-82.40586985987241,28.153686028277587
18880_FL,37460_FL,FL,FL,"Crestview-Fort Walton Beach-Destin, FL","Panama City, FL",3336430,0,0,3298400,38030,902972,2433458,18880_FL,-86.36565385135344,30.665732523380893,37460_FL,-85.46600655715284,30.143856217945498
36100_FL,26140_FL,FL,FL,"Ocala, FL","Homosassa Springs, FL",3315286,0,0,3246327,68959,1024400,2290886,36100_FL,-82.05665142074832,29.210207671595246,26140_FL,-82.47939650321318,28.84890754313061
33100_FL,15980_FL,FL,FL,"Miami-Fort Lauderdale-West Palm Beach, FL","Cape Coral-Fort Myers, FL",3256425,18688,0,3237737,0,1122674,2133751,33100_FL,-80.62676908164782,25.989057353585206,15980_FL,-81.83374076516242,26.57778207308121
36100_FL,RFL3_FL,FL,FL,"Ocala, FL",FL-NonMSA areas (N),3205924,0,0,3129998,75926,998995,2206929,36100_FL,-82.05665142074832,29.210207671595246,RFL3_FL,-82.90060820349375,29.93639244596677
15980_FL,33100_FL,FL,FL,"Cape Coral-Fort Myers, FL","Miami-Fort Lauderdale-West Palm Beach, FL",3186689,18553,0,3168136,0,1024679,2162010,15980_FL,-81.83374076516242,26.57778207308121,33100_FL,-80.62676908164782,25.989057353585206
37460_FL,18880_FL,FL,FL,"Panama City, FL","Crestview-Fort Walton Beach-Destin, FL",3159967,0,0,3116000,43967,881157,2278810,37460_FL,-85.46600655715284,30.143856217945498,18880_FL,-86.36565385135344,30.665732523380893
27260_FL,36740_FL,FL,FL,"Jacksonville, FL","Orlando-Kissimmee-Sanford, FL",3145523,5540,31707,3108276,0,1022985,2122538,27260_FL,-81.79206235996922,30.236720801974084,36740_FL,-81.36300157579336,28.43433057854205
39460_FL,RFL1_FL,FL,FL,"Punta Gorda, FL",FL-NonMSA areas (Central),3083878,0,0,2982575,101303,898289,2185589,39460_FL,-81.912256793785,26.90549780202472,RFL1_FL,-81.30380393571672,27.047978462601378
45300_FL,45540_FL,FL,FL,"Tampa-St. Petersburg-Clearwater, FL","The Villages, FL",3075696,0,0,3015330,60366,853047,2222649,45300_FL,-82.40586985987241,28.153686028277587,45540_FL,-82.0809661436527,28.704746692421324
36740_FL,27260_FL,FL,FL,"Orlando-Kissimmee-Sanford, FL","Jacksonville, FL",2922284,4403,19542,2898339,0,948836,1973448,36740_FL,-81.36300157579336,28.43433057854205,27260_FL,-81.79206235996922,30.236720801974084
RFL4_FL,45220_FL,FL,FL,FL-NonMSA areas (NW),"Tallahassee, FL",2746114,0,0,2712387,33727,840191,1905923,RFL4_FL,-85.22904449813885,30.477452921646957,45220_FL,-84.28617320304492,30.405015607103945
29460_FL,42700_FL,FL,FL,"Lakeland-Winter Haven, FL","Sebring, FL",2739480,0,740,2655355,83385,722194,2017286,29460_FL,-81.69757651030494,27.94888002560678,42700_FL,-81.3410349639663,27.34332487914713
RFL1_FL,42700_FL,FL,FL,FL-NonMSA areas (Central),"Sebring, FL",2706627,0,26,2648884,57717,802715,1903912,RFL1_FL,-81.30380393571672,27.047978462601378,42700_FL,-81.3410349639663,27.34332487914713
42700_FL,RFL1_FL,FL,FL,"Sebring, FL",FL-NonMSA areas (Central),2675379,0,79,2619821,55479,789589,1885790,42700_FL,-81.3410349639663,27.34332487914713,RFL1_FL,-81.30380393571672,27.047978462601378
27260_FL,23540_FL,FL,FL,"Jacksonville, FL","Gainesville, FL",2639515,0,0,2615671,23844,802086,1837429,27260_FL,-81.79206235996922,30.236720801974084,23540_FL,-82.47650176890735,29.68845797519173
42700_FL,29460_FL,FL,FL,"Sebring, FL","Lakeland-Winter Haven, FL",2574808,0,71,2521868,52869,726275,1848533,42700_FL,-81.3410349639663,27.34332487914713,29460_FL,-81.69757651030494,27.94888002560678
33100_FL,34940_FL,FL,FL,"Miami-Fort Lauderdale-West Palm Beach, FL","Naples-Immokalee-Marco Island, FL",2451613,9960,0,2436993,4660,694112,1757501,33100_FL,-80.62676908164782,25.989057353585206,34940_FL,-81.34758798839782,26.110727879457404
26140_FL,45540_FL,FL,FL,"Homosassa Springs, FL","The Villages, FL",2353801,0,0,2298320,55481,633450,1720351,26140_FL,-82.47939650321318,28.84890754313061,45540_FL,-82.0809661436527,28.704746692421324
RFL2_FL,RFL3_FL,FL,FL,"Union County, FL",FL-NonMSA areas (N),2339075,0,0,2293922,45153,655919,1683156,RFL2_FL,-82.37143291683732,30.043855133664206,RFL3_FL,-82.90060820349375,29.93639244596677
